number,value,datetime_start,datetime_complete,duration,params_alpha_pf,params_local_weight,params_t_max,state
0,0.9333333333333332,2026-04-10 16:16:39.999914,2026-04-10 16:16:48.466286,0 days 00:00:08.466372,0.35,0.8,150,COMPLETE
1,0.9665831244778613,2026-04-10 16:16:48.468777,2026-04-10 16:16:56.817262,0 days 00:00:08.348485,0.5,0.1,50,COMPLETE
2,0.8151075977162935,2026-04-10 16:16:56.818264,2026-04-10 16:17:04.643936,0 days 00:00:07.825672,0.1,0.6000000000000001,140,COMPLETE
3,0.8624338624338623,2026-04-10 16:17:04.645474,2026-04-10 16:17:12.422437,0 days 00:00:07.776963,0.6,1.0,30,COMPLETE
4,0.899749373433584,2026-04-10 16:17:12.423439,2026-04-10 16:17:20.762837,0 days 00:00:08.339398,0.7000000000000001,0.2,50,COMPLETE
