number,value,datetime_start,datetime_complete,duration,params_f1_weight,params_local_weight,params_t_max,state
0,0.8092103026651265,2026-04-03 18:03:22.316709,2026-04-03 18:03:27.069876,0 days 00:00:04.753167,0.35000000000000003,0.9500000000000001,120,COMPLETE
1,0.8300717479974447,2026-04-03 18:03:27.072383,2026-04-03 18:03:34.844458,0 days 00:00:07.772075,0.6000000000000001,0.15000000000000002,50,COMPLETE
2,0.8012555748763739,2026-04-03 18:03:34.846430,2026-04-03 18:03:40.185709,0 days 00:00:05.339279,0.05,0.9,100,COMPLETE
