timestamp,dataset,strategy,modelo,accuracy,macro_f1,macro_precision,macro_recall,pcd,forest_size,n_clients,use_weighted,local_weight,n_estimators,seed,convergence_round
2026-05-08 14:49:10,Optdigits,s8_roulette,Global,0.9404,0.9404,0.9425,0.941,0.0,30,2,True,0.0,250,42,4
2026-05-08 14:49:10,Optdigits,s8_roulette,Client_0,0.9244,0.9245,0.9253,0.9243,0.5457,10,2,True,0.0,250,42,4
2026-05-08 14:49:10,Optdigits,s8_roulette,Client_1,0.9466,0.9462,0.9477,0.9461,0.4988,20,2,True,0.0,250,42,4
