BD,Accuracy_PF,F1_PF,Accuracy_S1,F1_S1,Accuracy_S2,F1_S2,Accuracy_S3,F1_S3,Accuracy_S4,F1_S4,Accuracy_S5,F1_S5,Accuracy_S6,F1_S6,Accuracy_S7,F1_S7,Accuracy_PW,F1_PW
Car,0.976626,0.945782,0.918112,0.82333,0.913295,0.779346,0.906551,0.807568,0.928709,0.856246,0.925819,0.848316,0.920039,0.8255,0.933526,0.846363,0.913295,0.813304
Iris,0.956,0.954981,0.933333,0.932997,0.922222,0.922139,0.922222,0.922139,0.911111,0.910662,0.922222,0.922139,0.911111,0.910944,0.911111,0.910944,0.9,0.896381
Letter,0.965045,0.965253,0.903333,0.90305,0.913667,0.913346,0.90975,0.90948,0.9095,0.909269,0.901833,0.901596,0.91025,0.910017,0.905,0.904796,0.909583,0.909388
Nursery,0.995911,0.954848,0.976337,0.950452,0.977238,0.946501,0.977238,0.947051,0.971451,0.938768,0.97518,0.936827,0.975823,0.940985,0.975566,0.934622,0.973894,0.930324
Optdigits,0.983236,0.982218,0.95344,0.953282,0.958778,0.958435,0.960854,0.960406,0.96204,0.961665,0.962337,0.962081,0.962633,0.962279,0.963227,0.962859,0.960854,0.960405
Sonar,0.848299,0.823483,0.730159,0.72824,0.690476,0.688552,0.65873,0.65841,0.698413,0.697354,0.722222,0.720859,0.746032,0.741436,0.738095,0.735187,0.761905,0.760429
Spambase,0.95388,0.952755,0.929425,0.926766,0.932682,0.930179,0.929063,0.926385,0.929063,0.92642,0.931596,0.929081,0.927253,0.924558,0.930148,0.927477,0.929786,0.927112
Vowel,0.971919,0.968468,0.744108,0.743972,0.760943,0.762803,0.771044,0.770161,0.759259,0.760319,0.760943,0.761789,0.786195,0.78807,0.760943,0.754102,0.76431,0.760578
