strategy,dataset,config,accuracy,f1_macro,n_trees
s4_global_f1_pcd,Sonar,Var A (Thresh=0.0),0.753968253968254,0.7486299648064354,40
s4_global_f1_pcd,Sonar,Var B (Episode=10),0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,Var C (Episode=15),0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,Var D (Patience=4),0.7619047619047619,0.7508306196092237,35
s5_perclient_accuracy,Sonar,Baseline,0.7380952380952381,0.7353248862085708,9
s5_perclient_accuracy,Sonar,Var A (Thresh=0.0),0.7777777777777777,0.7765300245130925,42
s5_perclient_accuracy,Sonar,Var B (Episode=10),0.7380952380952381,0.7353248862085708,9
s5_perclient_accuracy,Sonar,Var C (Episode=15),0.7380952380952381,0.7353248862085708,9
s5_perclient_accuracy,Sonar,Var D (Patience=4),0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,Baseline,0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,Var A (Thresh=0.0),0.7698412698412698,0.7685051846840866,42
s6_perclient_f1,Sonar,Var B (Episode=10),0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,Var C (Episode=15),0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,Var D (Patience=4),0.7380952380952381,0.7353248862085708,9
s7_perclient_f1_pcd,Sonar,Baseline,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,Var A (Thresh=0.0),0.7698412698412698,0.7648336685101391,42
s7_perclient_f1_pcd,Sonar,Var B (Episode=10),0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,Var C (Episode=15),0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,Var D (Patience=4),0.753968253968254,0.7467647058823529,18
pw,Sonar,Baseline,0.6904761904761904,0.6888888888888888,9
pw,Sonar,Var A (Thresh=0.0),0.6904761904761904,0.6888888888888888,9
pw,Sonar,Var D (Patience=4),0.6904761904761904,0.6888888888888888,9
s2_global_accuracy,Vowel,Baseline,0.6430976430976431,0.6429778694259926,35
s2_global_accuracy,Vowel,Var A (Thresh=0.0),0.6430976430976431,0.6426357090119229,40
s2_global_accuracy,Vowel,Var B (Episode=10),0.6430976430976431,0.6426357090119229,40
s2_global_accuracy,Vowel,Var C (Episode=15),0.6515151515151515,0.6502650654179803,45
s2_global_accuracy,Vowel,Var D (Patience=4),0.6430976430976431,0.6429778694259926,35
s3_global_f1,Vowel,Baseline,0.6313131313131313,0.6314508692761052,30
s3_global_f1,Vowel,Var A (Thresh=0.0),0.6313131313131313,0.6314508692761052,30
s3_global_f1,Vowel,Var B (Episode=10),0.6481481481481481,0.6485819511732022,40
s3_global_f1,Vowel,Var C (Episode=15),0.6582491582491583,0.6598704446635092,45
s3_global_f1,Vowel,Var D (Patience=4),0.6313131313131313,0.6314508692761052,30
s4_global_f1_pcd,Vowel,Baseline,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,Var A (Thresh=0.0),0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,Var B (Episode=10),0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,Var C (Episode=15),0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,Var D (Patience=4),0.6363636363636364,0.63455812757172,30
s5_perclient_accuracy,Vowel,Baseline,0.5875420875420875,0.5830002127499813,9
s5_perclient_accuracy,Vowel,Var A (Thresh=0.0),0.6397306397306397,0.6376752410058136,30
s5_perclient_accuracy,Vowel,Var B (Episode=10),0.5875420875420875,0.5830002127499813,9
s5_perclient_accuracy,Vowel,Var C (Episode=15),0.5875420875420875,0.5830002127499813,9
s5_perclient_accuracy,Vowel,Var D (Patience=4),0.5875420875420875,0.5830002127499813,9
s6_perclient_f1,Vowel,Baseline,0.5875420875420875,0.5830002127499813,9
s6_perclient_f1,Vowel,Var A (Thresh=0.0),0.6447811447811448,0.6434922909527553,27
s6_perclient_f1,Vowel,Var B (Episode=10),0.5875420875420875,0.5830002127499813,9
s6_perclient_f1,Vowel,Var C (Episode=15),0.5875420875420875,0.5830002127499813,9
s6_perclient_f1,Vowel,Var D (Patience=4),0.5875420875420875,0.5830002127499813,9
s7_perclient_f1_pcd,Vowel,Baseline,0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,Var A (Thresh=0.0),0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,Var B (Episode=10),0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,Var C (Episode=15),0.664983164983165,0.6652417857096095,42
s7_perclient_f1_pcd,Vowel,Var D (Patience=4),0.664983164983165,0.6652417857096095,42
pw,Vowel,Baseline,0.6212121212121212,0.6177572091248354,9
pw,Vowel,Var A (Thresh=0.0),0.6212121212121212,0.6177572091248354,9
pw,Vowel,Var D (Patience=4),0.6212121212121212,0.6177572091248354,9
s2_global_accuracy,Spambase,Baseline,0.9131378935939196,0.9083713708708031,25
s2_global_accuracy,Spambase,Var A (Thresh=0.0),0.9131378935939196,0.9083713708708031,25
s2_global_accuracy,Spambase,Var B (Episode=10),0.9113282663771263,0.9067766659706048,30
s2_global_accuracy,Spambase,Var C (Episode=15),0.924719507781397,0.9207672475802663,45
s2_global_accuracy,Spambase,Var D (Patience=4),0.9131378935939196,0.9083713708708031,25
s3_global_f1,Spambase,Baseline,0.9040897575099529,0.8987630615235581,30
s3_global_f1,Spambase,Var A (Thresh=0.0),0.9040897575099529,0.8987630615235581,30
s3_global_f1,Spambase,Var B (Episode=10),0.9040897575099529,0.8987630615235581,30
s3_global_f1,Spambase,Var C (Episode=15),0.9196525515743756,0.9154650550353151,45
s3_global_f1,Spambase,Var D (Patience=4),0.9040897575099529,0.8987630615235581,30
s4_global_f1_pcd,Spambase,Baseline,0.9156713716974303,0.911142044182777,40
s4_global_f1_pcd,Spambase,Var A (Thresh=0.0),0.9156713716974303,0.911142044182777,40
s4_global_f1_pcd,Spambase,Var B (Episode=10),0.9040897575099529,0.8987630615235581,30
s4_global_f1_pcd,Spambase,Var C (Episode=15),0.9211002533478103,0.9169299936203986,45
s4_global_f1_pcd,Spambase,Var D (Patience=4),0.9156713716974303,0.911142044182777,40
s5_perclient_accuracy,Spambase,Baseline,0.913861744480637,0.909369513399647,9
s5_perclient_accuracy,Spambase,Var A (Thresh=0.0),0.9250814332247557,0.9208596798576637,42
s5_perclient_accuracy,Spambase,Var B (Episode=10),0.913861744480637,0.909369513399647,9
s5_perclient_accuracy,Spambase,Var C (Episode=15),0.913861744480637,0.909369513399647,9
s5_perclient_accuracy,Spambase,Var D (Patience=4),0.913861744480637,0.909369513399647,9
s6_perclient_f1,Spambase,Baseline,0.913861744480637,0.909369513399647,9
s6_perclient_f1,Spambase,Var A (Thresh=0.0),0.927976836771625,0.9240022399955166,42
s6_perclient_f1,Spambase,Var B (Episode=10),0.913861744480637,0.909369513399647,9
s6_perclient_f1,Spambase,Var C (Episode=15),0.913861744480637,0.909369513399647,9
