strategy,dataset,patience,size_scale,threshold,accuracy,f1_macro,n_trees
s4_global_f1_pcd,Sonar,3,5,0.002,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,3,5,0.005,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,3,10,0.001,0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,3,10,0.002,0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,3,10,0.005,0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,3,15,0.001,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,3,15,0.002,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,3,15,0.005,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,4,5,0.001,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,4,5,0.002,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,4,5,0.005,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,4,10,0.001,0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,4,10,0.002,0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,4,10,0.005,0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,4,15,0.001,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,4,15,0.002,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,4,15,0.005,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,5,5,0.001,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,5,5,0.002,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,5,5,0.005,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,5,10,0.001,0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,5,10,0.002,0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,5,10,0.005,0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,5,15,0.001,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,5,15,0.002,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,5,15,0.005,0.7777777777777777,0.7733967528710958,45
s7_perclient_f1_pcd,Sonar,3,5,0.001,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,3,5,0.002,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,3,5,0.005,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,3,10,0.001,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,3,10,0.002,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,3,10,0.005,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,3,15,0.001,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,3,15,0.002,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,3,15,0.005,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,4,5,0.001,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,4,5,0.002,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,4,5,0.005,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,4,10,0.001,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,4,10,0.002,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,4,10,0.005,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,4,15,0.001,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,4,15,0.002,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,4,15,0.005,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,5,5,0.001,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,5,5,0.002,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,5,5,0.005,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,5,10,0.001,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,5,10,0.002,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,5,10,0.005,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,5,15,0.001,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,5,15,0.002,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,5,15,0.005,0.753968253968254,0.7467647058823529,18
pw,Sonar,3,5,0.001,0.0,0.0,0
pw,Sonar,3,5,0.002,0.0,0.0,0
pw,Sonar,3,5,0.005,0.0,0.0,0
pw,Sonar,3,10,0.001,0.0,0.0,0
pw,Sonar,3,10,0.002,0.0,0.0,0
pw,Sonar,3,10,0.005,0.0,0.0,0
pw,Sonar,3,15,0.001,0.0,0.0,0
pw,Sonar,3,15,0.002,0.0,0.0,0
pw,Sonar,3,15,0.005,0.0,0.0,0
pw,Sonar,4,5,0.001,0.0,0.0,0
pw,Sonar,4,5,0.002,0.0,0.0,0
pw,Sonar,4,5,0.005,0.0,0.0,0
pw,Sonar,4,10,0.001,0.0,0.0,0
