strategy,dataset,avg_f1,avg_accuracy,avg_pcd,n_clients,timestamp
S8_WEIGHTED,iris,0.8528,0.8556,0.3333,3,2026-05-09 23:09:10
S8_WEIGHTED,car,0.8346,0.9335,0.4015,3,2026-05-09 23:10:16
S8_WEIGHTED,nursery,0.9274,0.9642,0.2106,3,2026-05-09 23:13:33
S8_WEIGHTED,vowel,0.6486,0.6515,0.9067,3,2026-05-09 23:14:35
S8_WEIGHTED,letter,0.8773,0.8772,0.5181,3,2026-05-09 23:18:23
S8_WEIGHTED,optdigits,0.9493,0.9493,0.5357,3,2026-05-09 23:21:41
S8_WEIGHTED,sonar,0.7279,0.7381,0.6970,3,2026-05-09 23:22:13
S8_WEIGHTED,spambase,0.9102,0.9146,0.3433,3,2026-05-09 23:24:06
S8_MEAN,iris,0.8438,0.8444,0.3333,3,2026-05-09 23:24:32
S8_MEAN,car,0.8171,0.9229,0.3902,3,2026-05-09 23:25:06
S8_MEAN,nursery,0.9270,0.9633,0.2019,3,2026-05-09 23:26:39
S8_MEAN,vowel,0.6599,0.6599,0.9200,3,2026-05-09 23:27:16
S8_MEAN,letter,0.8769,0.8768,0.5128,3,2026-05-09 23:41:09
S8_MEAN,optdigits,0.9520,0.9520,0.5193,3,2026-05-09 23:43:27
S8_MEAN,sonar,0.7168,0.7222,0.8788,3,2026-05-09 23:43:57
S8_MEAN,spambase,0.9107,0.9153,0.3491,3,2026-05-09 23:46:25
S8_MEDIAN,iris,0.8438,0.8444,0.3333,3,2026-05-09 23:46:57
S8_MEDIAN,car,0.8364,0.9316,0.3902,3,2026-05-09 23:47:39
S8_MEDIAN,nursery,0.9261,0.9617,0.2222,3,2026-05-09 23:49:24
S8_MEDIAN,vowel,0.6480,0.6481,0.9000,3,2026-05-09 23:50:25
S8_MEDIAN,letter,0.8807,0.8806,0.5125,3,2026-05-09 23:56:41
S8_MEDIAN,optdigits,0.9523,0.9523,0.5345,3,2026-05-10 00:01:03
S8_MEDIAN,sonar,0.7144,0.7222,0.9394,3,2026-05-10 00:01:58
S8_MEDIAN,spambase,0.9095,0.9142,0.3433,3,2026-05-10 00:04:05
S8_CONSENSUS,iris,0.8324,0.8333,0.4583,3,2026-05-10 00:04:37
S8_CONSENSUS,car,0.8321,0.9287,0.3750,3,2026-05-10 00:05:29
S8_CONSENSUS,nursery,0.9231,0.9608,0.2060,3,2026-05-10 00:06:56
S8_CONSENSUS,vowel,0.6525,0.6515,0.9267,3,2026-05-10 00:09:19
S8_CONSENSUS,letter,0.8870,0.8871,0.5158,3,2026-05-10 00:17:46
S8_CONSENSUS,optdigits,0.9407,0.9407,0.5088,3,2026-05-10 00:19:52
S8_CONSENSUS,sonar,0.7254,0.7381,0.8788,3,2026-05-10 00:20:37
S8_CONSENSUS,spambase,0.9079,0.9128,0.3233,3,2026-05-10 00:23:02
S8_PROACTIVE_PCD,iris,0.8438,0.8444,0.3333,3,2026-05-10 00:23:28
S8_PROACTIVE_PCD,car,0.8335,0.9277,0.3674,3,2026-05-10 00:23:56
S8_PROACTIVE_PCD,nursery,0.9287,0.9631,0.2080,3,2026-05-10 00:27:08
S8_PROACTIVE_PCD,vowel,0.6269,0.6246,0.9067,3,2026-05-10 00:28:09
S8_PROACTIVE_PCD,letter,0.8773,0.8772,0.5046,3,2026-05-10 00:32:33
S8_PROACTIVE_PCD,optdigits,0.9466,0.9466,0.5509,3,2026-05-10 00:34:28
S8_PROACTIVE_PCD,sonar,0.6933,0.7063,0.8485,3,2026-05-10 00:35:07
S8_PROACTIVE_PCD,spambase,0.9058,0.9106,0.3305,3,2026-05-10 00:36:42
