BD,Accuracy_PF,F1_PF,Accuracy_S1,F1_S1,Accuracy_S2,F1_S2,Accuracy_S3,F1_S3,Accuracy_S4,F1_S4,Accuracy_S5,F1_S5,Accuracy_S6,F1_S6,Accuracy_S7,F1_S7,Accuracy_PW,F1_PW
Car,0.976626,0.945782,0.222543,0.091017,0.222543,0.091017,0.222543,0.091017,0.222543,0.091017,0.222543,0.091017,0.222543,0.091017,0.222543,0.091017,0.222543,0.091017
Iris,0.956,0.954981,0.333333,0.166667,0.333333,0.166667,0.333333,0.166667,0.333333,0.166667,0.333333,0.166667,0.333333,0.166667,0.333333,0.166667,0.333333,0.166667
Letter,0.965045,0.965253,0.0395,0.002923,0.0395,0.002923,0.0395,0.002923,0.0395,0.002923,0.0395,0.002923,0.0395,0.002923,0.0395,0.002923,0.0395,0.002923
Nursery,0.995911,0.954848,0.333333,0.125,0.333333,0.125,0.333333,0.125,0.333333,0.125,0.333333,0.125,0.333333,0.125,0.333333,0.125,0.333333,0.125
Optdigits,0.983236,0.982218,0.098754,0.017976,0.098754,0.017976,0.098754,0.017976,0.098754,0.017976,0.098754,0.017976,0.098754,0.017976,0.098754,0.017976,0.098754,0.017976
Sonar,0.848299,0.823483,0.52381,0.34375,0.52381,0.34375,0.52381,0.34375,0.52381,0.34375,0.52381,0.34375,0.52381,0.34375,0.52381,0.34375,0.52381,0.34375
Spambase,0.95388,0.952755,0.605863,0.377282,0.605863,0.377282,0.605863,0.377282,0.605863,0.377282,0.605863,0.377282,0.605863,0.377282,0.605863,0.377282,0.605863,0.377282
Vowel,0.971919,0.968468,0.090909,0.015152,0.090909,0.015152,0.090909,0.015152,0.090909,0.015152,0.090909,0.015152,0.090909,0.015152,0.090909,0.015152,0.090909,0.015152
