BD,ΔAcc_S1,ΔF1_S1,ΔAcc_S2,ΔF1_S2,ΔAcc_S3,ΔF1_S3,ΔAcc_S4,ΔF1_S4,ΔAcc_S5,ΔF1_S5,ΔAcc_S6,ΔF1_S6,ΔAcc_S7,ΔF1_S7,ΔAcc_PW,ΔF1_PW
Car,-0.754082,-0.854765,-0.754082,-0.854765,-0.754082,-0.854765,-0.754082,-0.854765,-0.754082,-0.854765,-0.754082,-0.854765,-0.754082,-0.854765,-0.754082,-0.854765
Iris,-0.622667,-0.788314,-0.622667,-0.788314,-0.622667,-0.788314,-0.622667,-0.788314,-0.622667,-0.788314,-0.622667,-0.788314,-0.622667,-0.788314,-0.622667,-0.788314
Letter,-0.925545,-0.96233,-0.925545,-0.96233,-0.925545,-0.96233,-0.925545,-0.96233,-0.925545,-0.96233,-0.925545,-0.96233,-0.925545,-0.96233,-0.925545,-0.96233
Nursery,-0.662578,-0.829848,-0.662578,-0.829848,-0.662578,-0.829848,-0.662578,-0.829848,-0.662578,-0.829848,-0.662578,-0.829848,-0.662578,-0.829848,-0.662578,-0.829848
Optdigits,-0.884481,-0.964242,-0.884481,-0.964242,-0.884481,-0.964242,-0.884481,-0.964242,-0.884481,-0.964242,-0.884481,-0.964242,-0.884481,-0.964242,-0.884481,-0.964242
Sonar,-0.324489,-0.479733,-0.324489,-0.479733,-0.324489,-0.479733,-0.324489,-0.479733,-0.324489,-0.479733,-0.324489,-0.479733,-0.324489,-0.479733,-0.324489,-0.479733
Spambase,-0.348017,-0.575473,-0.348017,-0.575473,-0.348017,-0.575473,-0.348017,-0.575473,-0.348017,-0.575473,-0.348017,-0.575473,-0.348017,-0.575473,-0.348017,-0.575473
Vowel,-0.88101,-0.953316,-0.88101,-0.953316,-0.88101,-0.953316,-0.88101,-0.953316,-0.88101,-0.953316,-0.88101,-0.953316,-0.88101,-0.953316,-0.88101,-0.953316
