Estrategia,Accuracy (Consolidado),F1-Score (Consolidado),Precisión (Consolidado),Recall (Consolidado),Accuracy (Global),F1-Score (Global),Precisión (Global),Recall (Global),Árboles Globales,Tiempo (s)
S1,0.7428233606636816,0.7409046404038278,0.7694908599249075,0.7924122709954871,0.7498982380647787,0.7477116118856101,0.773325914157797,0.7977723260325178,18,2288.0551233291626
S2,0.7131282588048303,0.7122086469793992,0.7536539401593746,0.7696939855737819,0.7163458742803978,0.7153325998722843,0.755239975985145,0.7721232529053894,18,3719.790889263153
S3,0.7319881374658371,0.7305014410748661,0.7639885106270707,0.7844348749012352,0.7374251322905158,0.7357344721169929,0.7667366624770657,0.7884716277257541,18,2636.0959429740906
S4,0.7425132290515788,0.7406113994164011,0.7692783058771281,0.7921755600934706,0.7464092574286213,0.7443565142123594,0.7713718154287454,0.7951093283848323,18,2545.014573097229
S5,0.71779961621213,0.7167250698974562,0.7557732000573599,0.7730864897361173,0.7219573181368844,0.720744096830245,0.7578163500114135,0.7761867225050385,18,2731.259878873825
S6,0.7293714019887189,0.7278989501246736,0.7616560323959751,0.7817857238835395,0.735273594231552,0.7335864956661114,0.7647310482905433,0.7862307596147102,18,3275.4267148971558
S7,0.7491422922602781,0.7470397745622691,0.7734997386916618,0.7976210756378692,0.7574576961097866,0.755032746775437,0.7781386102519176,0.8039412784213725,18,2896.180787086487
