BD,F1_PF,F1_Local,F1_S1,F1_S2,F1_S3,F1_S4,F1_S5,F1_S6,F1_S7,F1_PW,F1_S9_Weighted,F1_S9_Mean,F1_S9_Median,F1_S9_Consensus,F1_S9_Proactive
Iris,0.9549,0.9290432407099072,0.9563660413660412,0.9320987654320988,0.9320987654320988,0.9340628507295172,0.9436026936026936,0.9436026936026936,0.934203142536476,0.901022126022126,0.9060734944068278,0.9060734944068278,0.9060734944068278,0.9060734944068278,0.9060734944068278
Car,0.9457,0.7963910244241148,0.8624910697336086,0.8033910555628735,0.8002112066653636,0.8356875923665781,0.8372802061588397,0.8404572089890271,0.8166718383960928,0.7794479656897867,0.7486867504504965,0.7486867504504965,0.7486867504504965,0.7486867504504965,0.7486867504504965
Nursery,0.9548,0.8936283931813509,0.9170819780847436,0.8442610992868895,0.8932397339398038,0.8942089806512843,0.8963743223071399,0.9064352449331118,0.8934011382401283,0.6575479124695287,0.8818739426863689,0.8818739426863689,0.8815944715010984,0.8818739426863689,0.8818419429935045
Vowel,0.9684,0.6565437992757363,0.815003868367927,0.6656949916123914,0.6629708768918622,0.7063761023672122,0.7172431681358675,0.7074948840362596,0.7079606457180949,0.7220941537017541,0.5900761402951045,0.5900761402951045,0.5909643192581497,0.5900761402951045,0.5907761818610708
Letter,0.9652,0.6802314189888132,0.7272327168642039,0.6659273737631883,0.6659430262329863,0.7066912912881593,0.6973115787280596,0.6954408870510329,0.6972759784164498,0.7049418895780206,0.6646289411489417,0.6646289411489417,0.6644067663118559,0.6646289411489417,0.6646289411489417
Optdigits,0.9822,0.933530101456195,0.9625359270114198,0.8686033525368186,0.8735228529160899,0.9200172745170604,0.9257793907342444,0.925691717385353,0.9211188319839008,0.939797196696534,0.9112165536699134,0.9112165536699134,0.9113173175775828,0.9112165536699134,0.9112165536699134
Sonar,0.8234,0.7194276204670461,0.7502362194029321,0.6941551928258047,0.6999973592729988,0.7070579913820649,0.7247293763016243,0.71620245328372,0.7053858801477144,0.701590539887417,0.6632202795402952,0.6632202795402952,0.6632202795402952,0.6632202795402952,0.6632202795402952
Spambase,0.9527,0.91810765165834,0.9299832130716554,0.9049532795327035,0.9036165179545822,0.912480706773562,0.9186233407511348,0.9186294700505452,0.9160095763758952,0.924667384153681,0.9126666548597536,0.9126666548597536,0.91258830642219,0.9126666548597536,0.9126666548597536
