BD,ΔAcc_S1,ΔF1_S1,ΔAcc_S2,ΔF1_S2,ΔAcc_S3,ΔF1_S3,ΔAcc_S4,ΔF1_S4,ΔAcc_S5,ΔF1_S5,ΔAcc_S6,ΔF1_S6,ΔAcc_S7,ΔF1_S7,ΔAcc_PW,ΔF1_PW
Car,-0.018052,-0.041299,-0.019015,-0.060674,-0.019015,-0.046409,-0.018052,-0.041154,-0.012271,-0.028873,-0.017088,-0.041825,-0.014198,-0.02269,-0.019978,-0.069097
Iris,-0.022667,-0.021759,-0.022667,-0.021648,-0.022667,-0.021648,-0.033778,-0.032954,-0.044889,-0.044037,-0.011556,-0.010564,-0.033778,-0.032842,-0.033778,-0.032842
Letter,-0.047045,-0.047228,-0.043379,-0.04365,-0.048045,-0.048171,-0.041045,-0.041326,-0.043629,-0.043671,-0.045879,-0.046128,-0.047295,-0.047526,-0.041129,-0.04141
Nursery,-0.018287,0.000149,-0.023046,-0.009529,-0.020988,-0.007994,-0.01803,0.003325,-0.020602,-0.006082,-0.019959,-0.008801,-0.020345,-0.004381,-0.019059,-0.001241
Optdigits,-0.015857,-0.014828,-0.015264,-0.014206,-0.018823,-0.017814,-0.014078,-0.013025,-0.018823,-0.017784,-0.014374,-0.013405,-0.013781,-0.012751,-0.013188,-0.012193
Sonar,-0.030838,-0.01241,-0.09433,-0.083702,-0.09433,-0.074266,-0.062584,-0.04373,-0.070521,-0.05144,-0.070521,-0.053895,-0.062584,-0.041252,-0.070521,-0.052828
Spambase,-0.023369,-0.025867,-0.024093,-0.026732,-0.026989,-0.029888,-0.030608,-0.033624,-0.028436,-0.03136,-0.027713,-0.030491,-0.029884,-0.03275,-0.027713,-0.030628
Vowel,-0.17899,-0.175178,-0.173939,-0.170308,-0.189091,-0.186639,-0.199192,-0.195558,-0.182357,-0.180459,-0.187407,-0.184989,-0.210976,-0.207493,-0.194141,-0.192502
